Reservoir,Site,DateTime,Depth_m,TN_ugL,TP_ugL,NH4_ugL,NO3NO2_ugL,SRP_ugL,DOC_mgL,Chla_ugL,Flow_cms,Method,connectivity,overflow,DIC_mgL,DC_mgL,DN_mgL,Flag_TN,Flag_TP,Flag_NH4,Flag_NO3NO2,Flag_SRP,Flag_DOC,Flag_Chla,Flag_Flow,Flag_DIC,Flag_DC,Flag_DN
BVR,200,2019-05-30T12:00:00Z,0.1,151.5,11.7,38,3,2,2.4,1.7184,0.0060461,S,1,0,NA,NA,NA,3,3,0,0,0,7,0,0,NA,NA,NA
FCR,1,2019-05-30T12:00:00Z,0.1,132.8,9.7,9,57,5,1.2,0.8592,0.05113,S,1,1,NA,NA,NA,73,7,0,0,0,0,0,0,FALSE,FALSE,FALSE
FCR,20,2019-05-30T12:00:00Z,0.1,117,7.2,4,3,3,2.2,4.81152,NA,NA,1,0,NA,NA,NA,3,0,0,0,0,0,0,NA,FALSE,FALSE,FALSE
FCR,30,2019-05-30T12:00:00Z,0.1,144,8.1,3,0,1,NA,4.63968,NA,NA,1,0,NA,NA,NA,3,0,3,43,3,NA,0,NA,NA,NA,NA
FCR,45,2019-05-30T12:00:00Z,0.1,117,7.2,11,0,2,2.7,4.63968,NA,NA,1,0,NA,NA,NA,3,0,3,43,0,0,0,NA,FALSE,FALSE,FALSE
FCR,50,2019-05-30T12:00:00Z,0.1,242.8,6.9,14,3,2,4,3.78048,NA,NA,1,0,NA,NA,NA,7,7,3,0,0,7,0,NA,NA,NA,NA
FCR,99,2019-05-30T12:00:00Z,0.1,84,14.4,7,64,6,4.1,0.51552,0.0275854,S,1,0,NA,NA,NA,0,3,0,0,0,0,0,0,FALSE,FALSE,FALSE
FCR,100,2019-05-30T12:00:00Z,0.1,148.5,13.3,3,64,7,3.7,0.51552,0.037759348,S,1,0,NA,NA,NA,3,3,3,0,0,0,0,0,FALSE,FALSE,FALSE
FCR,101,2019-05-30T12:00:00Z,0.1,148.5,8,6,58,5,1.8,0.51552,0.034115104,S,1,0,NA,NA,NA,3,0,0,0,0,0,0,0,FALSE,FALSE,FALSE
FCR,102,2019-05-30T12:00:00Z,0.1,100.5,3.9,5,3,2,2.6,0.8592,0.01090952,S,1,0,NA,NA,NA,3,3,0,0,0,7,0,0,NA,NA,NA
FCR,200,2019-05-30T12:00:00Z,0.1,235.5,42.1,27,25,6,1.6,0.68736,NA,NA,1,0,NA,NA,NA,0,0,3,0,0,0,0,NA,FALSE,FALSE,FALSE
BVR,1,2019-06-27T12:00:00Z,0.1,256.5,5.2,8,3,8,2.1,0.8592,NA,NA,1,0,NA,NA,NA,0,0,7,7,7,7,0,NA,NA,NA,NA
BVR,20,2019-06-27T12:00:00Z,0.1,150,6.8,6,2,8,2.8,1.37472,NA,NA,1,0,NA,NA,NA,3,0,7,73,7,7,0,NA,NA,NA,NA
BVR,30,2019-06-27T12:00:00Z,0.1,165,6.8,8,3,6,3.2,1.11696,NA,NA,1,0,NA,NA,NA,3,0,7,73,7,7,0,NA,NA,NA,NA
BVR,45,2019-06-27T12:00:00Z,0.1,196.5,3.7,10,3,7,3.4,1.11696,NA,NA,1,0,NA,NA,NA,3,3,0,0,0,0,0,NA,FALSE,FALSE,FALSE
BVR,50,2019-06-27T12:00:00Z,0.1,153,6.8,6,2,5,3.4,0.8592,NA,NA,1,0,NA,NA,NA,3,0,7,73,7,7,0,NA,NA,NA,NA
BVR,100,2019-06-27T12:00:00Z,0.1,198,62.6,24,26,13,2,0.30504142,NA,NA,1,0,NA,NA,NA,3,0,73,7,73,7,0,NA,NA,NA,NA
BVR,200,2019-06-27T12:00:00Z,0.1,195,14.6,47,39,7,3.7,0.51552,0.00451909,S,1,0,NA,NA,NA,3,3,0,0,0,7,0,0,NA,NA,NA
FCR,1,2019-06-27T12:00:00Z,0.1,265.5,10.1,12,137,13,2.1,2.245145729,0.00368925,S,1,1,NA,NA,NA,0,3,73,73,73,7,0,0,NA,NA,NA
FCR,20,2019-06-27T12:00:00Z,0.1,285,6.8,10,3,12,3.6,9.62304,NA,NA,1,0,NA,NA,NA,0,0,0,0,3,0,0,NA,FALSE,FALSE,FALSE
FCR,30,2019-06-27T12:00:00Z,0.1,327,17.2,8,1,8,5,8.592,NA,NA,1,0,NA,NA,NA,0,3,7,73,7,7,0,NA,NA,NA,NA
FCR,45,2019-06-27T12:00:00Z,0.1,304.5,9.3,20,0,11,3.5,10.0956,NA,NA,1,0,NA,NA,NA,0,0,73,73,73,7,0,NA,NA,NA,NA
FCR,50,2019-06-27T12:00:00Z,0.1,387,8.2,24,3,10,3.5,7.21728,NA,NA,1,0,NA,NA,NA,7,7,3,0,3,7,0,NA,NA,NA,NA
FCR,99,2019-06-27T12:00:00Z,0.1,217.5,14.7,13,92,7,1.3,0.278659459,0.0148243,S,1,0,NA,NA,NA,0,3,3,0,0,0,0,0,FALSE,FALSE,FALSE
FCR,100,2019-06-27T12:00:00Z,0.1,217.5,16.2,10,100,9,2.9,0.303247059,0.016705778,S,1,0,NA,NA,NA,0,3,3,0,0,0,0,0,FALSE,FALSE,FALSE
FCR,101,2019-06-27T12:00:00Z,0.1,190.5,12.6,7,89,9,4.1,0.433939394,0.012802242,S,1,0,NA,NA,NA,3,3,0,0,0,0,0,0,FALSE,FALSE,FALSE
FCR,102,2019-06-27T12:00:00Z,0.1,189,8,12,26,3,4.4,0.399627907,1.28E-05,S,1,0,NA,NA,NA,3,0,3,0,0,0,0,0,FALSE,FALSE,FALSE
FCR,200,2019-06-27T12:00:00Z,0.1,181.5,34,27,48,6,1.9,0.365617021,0.01105,F,1,0,NA,NA,NA,3,3,3,0,0,0,0,0,FALSE,FALSE,FALSE
BVR,1,2019-07-18T12:00:00Z,0.1,154.5,4.1,10,3,1,2.7,1.669302857,NA,NA,2,0,NA,NA,NA,3,3,3,0,3,0,0,NA,FALSE,FALSE,FALSE
BVR,20,2019-07-18T12:00:00Z,0.1,154.5,4.6,5,3,2,2.3,2.06208,NA,NA,2,0,NA,NA,NA,3,0,0,0,3,0,0,NA,FALSE,FALSE,FALSE
BVR,30,2019-07-18T12:00:00Z,0.1,180,4.5,7,3,1,4.5,2.2912,NA,NA,2,0,NA,NA,NA,3,0,0,0,3,0,0,NA,FALSE,FALSE,FALSE
BVR,45,2019-07-18T12:00:00Z,0.1,168,6,6,3,1,2.1,1.83296,NA,NA,2,0,NA,NA,NA,3,0,0,0,3,0,0,NA,FALSE,FALSE,FALSE
BVR,50,2019-07-18T12:00:00Z,0.1,299.2,3,6,1,3,2.7,1.49426087,NA,NA,2,0,NA,NA,NA,7,73,7,73,7,0,0,NA,FALSE,FALSE,FALSE
BVR,100,2019-07-18T12:00:00Z,0.1,168,38.9,33,24,6,4.5,0.08592,0.004735426,S,2,0,NA,NA,NA,3,3,0,0,0,0,1,0,FALSE,FALSE,FALSE
BVR,200,2019-07-18T12:00:00Z,0.1,217.5,9.4,57,39,1,4.9,1.20288,0.003221387,S,2,0,NA,NA,NA,0,0,0,0,3,0,0,0,FALSE,FALSE,FALSE
FCR,1,2019-07-18T12:00:00Z,0.1,250.5,8.7,12,3,5,3.3,1.996121212,0.013062446,S,2,2,NA,NA,NA,0,0,3,0,0,7,0,0,NA,NA,NA
FCR,20,2019-07-18T12:00:00Z,0.1,NA,NA,5,0,8,4.7,18.21504,NA,NA,2,0,NA,NA,NA,NA,NA,7,743,7,7,0,NA,NA,NA,NA
FCR,30,2019-07-18T12:00:00Z,0.1,309,9.2,3,3,4,3.9,17.184,NA,NA,2,0,NA,NA,NA,0,0,3,0,0,0,0,NA,FALSE,FALSE,FALSE
FCR,45,2019-07-18T12:00:00Z,0.1,309,9.9,7,3,5,4.5,14.09088,NA,NA,2,0,NA,NA,NA,0,0,0,0,0,0,0,NA,FALSE,FALSE,FALSE
FCR,50,2019-07-18T12:00:00Z,0.1,361.5,10.1,17,5,5,4.4,15.12192,NA,NA,2,0,NA,NA,NA,0,3,3,0,0,0,0,NA,FALSE,FALSE,FALSE
FCR,99,2019-07-18T12:00:00Z,0.1,246,14.8,8,169,20,2.3,0.17184,0.005135225,S,2,0,NA,NA,NA,0,3,7,73,7,7,1,0,NA,NA,NA
FCR,100,2019-07-18T12:00:00Z,0.1,229.5,16.4,6,3,13,4.2,0.25776,0.005134307,S,2,0,NA,NA,NA,0,3,0,0,3,0,0,0,FALSE,FALSE,FALSE
FCR,101,2019-07-18T12:00:00Z,0.1,270,18.4,4,3,15,2.5,0.17184,0.004274691,S,2,0,NA,NA,NA,0,3,0,0,3,7,1,0,NA,NA,NA
FCR,102,2019-07-18T12:00:00Z,0.1,315,69.8,33,3,7,2.7,0.25776,0.001146158,S,2,0,NA,NA,NA,0,0,data from 7/22,data from 7/22,data from 7/22,data from 7/22,data from 7/22,0,NA,NA,NA
FCR,200,2019-07-18T12:00:00Z,0.1,NA,NA,21,46,13,1.6,1.1456,0.00595,F,2,0,NA,NA,NA,NA,NA,3,0,3,0,0,0,FALSE,FALSE,FALSE
BVR,1,2019-08-22T12:00:00Z,0.1,254.5,12.7,8,10,8,2.6,5.75664,NA,NA,2,0,NA,NA,NA,7,73,0,0,0,0,0,NA,FALSE,FALSE,FALSE
BVR,20,2019-08-22T12:00:00Z,0.1,287,10.7,10,3,3,2.1,5.92848,NA,NA,2,0,NA,NA,NA,0,3,3,0,0,0,0,NA,FALSE,FALSE,FALSE
BVR,30,2019-08-22T12:00:00Z,0.1,260.5,6.5,3,3,5,3.1,6.35808,NA,NA,2,0,NA,NA,NA,7,7,3,0,0,0,0,NA,FALSE,FALSE,FALSE
BVR,45,2019-08-22T12:00:00Z,0.1,251.2,11.2,3,3,5,2.4,4.448649746,NA,NA,2,0,NA,NA,NA,7,73,3,0,0,0,0,NA,FALSE,FALSE,FALSE
BVR,50,2019-08-22T12:00:00Z,0.1,150.5,13,5,5,6,2.7,4.55376,NA,NA,2,0,NA,NA,NA,73,73,0,0,0,0,0,NA,FALSE,FALSE,FALSE
BVR,100,2019-08-22T12:00:00Z,0.1,165.8,64.3,23,28,6,1.2,0.495692308,0.00402539,S,2,0,NA,NA,NA,73,7,3,0,0,0,0,0,FALSE,FALSE,FALSE
BVR,200,2019-08-22T12:00:00Z,0.1,278.5,19.7,49,56,5,1.9,1.3425,0.002061457,S,2,0,NA,NA,NA,7,73,0,0,0,0,0,0,FALSE,FALSE,FALSE
FCR,1,2019-08-22T12:00:00Z,0.1,698,32.9,14,264,10,2.7,6.241358491,0.009762845,S,2,2,NA,NA,NA,7,73,3,0,3,0,0,0,FALSE,FALSE,FALSE
FCR,20,2019-08-22T12:00:00Z,0.1,756,28,4,3,7,4.4,41.48708571,NA,NA,2,0,NA,NA,NA,7,73,0,0,0,0,0,NA,FALSE,FALSE,FALSE
FCR,30,2019-08-22T12:00:00Z,0.1,676.5,27.8,5,8,8,5.3,36.6592,NA,NA,2,0,NA,NA,NA,7,73,0,0,0,0,0,NA,FALSE,FALSE,FALSE
FCR,45,2019-08-22T12:00:00Z,0.1,874,36.8,4,3,18,5.5,36.0864,NA,NA,2,0,NA,NA,NA,7,73,0,0,3,0,0,NA,FALSE,FALSE,FALSE
FCR,50,2019-08-22T12:00:00Z,0.1,840.8,33.9,8,10,8,5,35.8,NA,NA,2,0,NA,NA,NA,7,73,0,0,0,0,0,NA,FALSE,FALSE,FALSE
FCR,99,2019-08-22T12:00:00Z,0.1,259,26.9,5,3,17,1.6,0.60144,0.004152117,S,2,0,NA,NA,NA,7,73,0,0,3,0,0,0,FALSE,FALSE,FALSE
FCR,100,2019-08-22T12:00:00Z,0.1,431.5,40,6,3,19,1.2,0.956881671,0.004032924,S,2,0,NA,NA,NA,7,7,0,0,3,0,0,0,FALSE,FALSE,FALSE
FCR,101,2019-08-22T12:00:00Z,0.1,338,45.1,0,146,21,1.4,1.598511628,0.003163671,S,2,0,NA,NA,NA,7,7,73,73,7,7,0,0,NA,NA,NA
FCR,102,2019-08-22T12:00:00Z,0.1,280.8,22.9,106,3,16,0.2,0.080865882,0.000909201,S,2,0,NA,NA,NA,7,73,3,0,3,0,1,0,FALSE,FALSE,FALSE
FCR,200,2019-08-22T12:00:00Z,0.1,223.5,55,24,32,4,1.2,0.729509434,0.01161,V,2,0,NA,NA,NA,7,7,3,0,0,0,0,5,FALSE,FALSE,FALSE
BVR,1,2019-09-20T12:00:00Z,0.1,293.5,13.6,9,7,5,3,9.96672,NA,NA,2,0,NA,NA,NA,7,73,0,0,0,0,0,NA,FALSE,FALSE,FALSE
BVR,20,2019-09-20T12:00:00Z,0.1,221.5,18.4,6,3,4,3.3,13.7472,NA,NA,2,0,NA,NA,NA,7,73,0,0,0,0,0,NA,FALSE,FALSE,FALSE
BVR,30,2019-09-20T12:00:00Z,0.1,296.5,18.1,3,3,14,3.3,13.7472,NA,NA,2,0,NA,NA,NA,7,73,3,0,3,0,0,NA,FALSE,FALSE,FALSE
BVR,45,2019-09-20T12:00:00Z,0.1,223.5,14.2,3,3,6,2.9,8.592,NA,NA,2,0,NA,NA,NA,7,73,3,0,0,0,0,NA,FALSE,FALSE,FALSE
BVR,50,2019-09-20T12:00:00Z,0.1,245.5,25.2,4,3,3,2.5,10.10823529,NA,NA,2,0,NA,NA,NA,7,73,0,0,0,0,0,NA,FALSE,FALSE,FALSE
FCR,20,2019-09-20T12:00:00Z,0.1,616.5,26.6,21,3,9,4.7,24.74496,NA,NA,2,0,NA,NA,NA,7,73,3,0,0,0,0,NA,FALSE,FALSE,FALSE
FCR,30,2019-09-20T12:00:00Z,0.1,NA,NA,23,3,8,4.7,26.46336,NA,NA,2,0,NA,NA,NA,NA,NA,3,0,0,0,0,NA,FALSE,FALSE,FALSE
FCR,45,2019-09-20T12:00:00Z,0.1,1019,27.2,27,5,2,4,23.82848,NA,NA,2,0,NA,NA,NA,3,3,3,0,3,0,0,NA,FALSE,FALSE,FALSE
FCR,50,2019-09-20T12:00:00Z,0.1,583.5,25.1,39,27,8,4.5,29.40373333,NA,NA,2,0,NA,NA,NA,0,3,0,0,0,0,0,NA,FALSE,FALSE,FALSE
FCR,100,2019-09-20T12:00:00Z,0.1,183,28.2,5,124,20,1,NA,NA,NA,2,0,NA,NA,NA,3,3,7,73,73,7,NA,NA,NA,NA,NA
BVR,1,2019-10-04T12:00:00Z,0.1,333.5,25.3,0,3,3,3.7,12.71616,NA,NA,2,0,NA,NA,NA,7,73,43,0,0,0,0,NA,FALSE,FALSE,FALSE
BVR,20,2019-10-04T12:00:00Z,0.1,167,19.3,8,3,0,3.5,14.09088,NA,NA,2,0,NA,NA,NA,73,73,0,0,43,0,0,NA,FALSE,FALSE,FALSE
BVR,30,2019-10-04T12:00:00Z,0.1,425.5,18.7,8,4,8,3.9,15.80928,NA,NA,2,0,NA,NA,NA,7,73,0,0,0,0,0,NA,FALSE,FALSE,FALSE
BVR,45,2019-10-04T12:00:00Z,0.1,420,14.9,4,3,0,3.3,8.24832,NA,NA,2,0,NA,NA,NA,0,3,0,0,43,0,0,NA,FALSE,FALSE,FALSE
BVR,50,2019-10-04T12:00:00Z,0.1,252,17.1,5,3,9,3.2,8.592,NA,NA,2,0,NA,NA,NA,7,73,0,0,0,7,0,NA,NA,NA,NA
BVR,100,2019-10-04T12:00:00Z,0.1,157,81.9,29,3,12,1.4,1.128242424,0.002258016,S,2,0,NA,NA,NA,73,7,3,0,3,0,0,0,FALSE,FALSE,FALSE
BVR,200,2019-10-04T12:00:00Z,0.1,227.5,37.3,56,78,1,1.3,1.336533333,0.000993843,S,2,0,NA,NA,NA,7,73,0,0,3,7,0,0,NA,NA,NA
FCR,1,2019-10-04T12:00:00Z,0.1,289,24.2,17,278,12,1,1.841142857,0.003118284,S,2,1,NA,NA,NA,7,73,3,0,3,0,0,0,FALSE,FALSE,FALSE
FCR,20,2019-10-04T12:00:00Z,0.1,1000,26.1,0,3,15,8.4,36.43008,NA,NA,2,0,NA,NA,NA,73,73,43,0,3,0,0,NA,FALSE,FALSE,FALSE
FCR,30,2019-10-04T12:00:00Z,0.1,703.5,30.8,2,0,14,7.4,39.0936,NA,NA,2,0,NA,NA,NA,7,73,3,43,3,0,0,NA,FALSE,FALSE,FALSE
FCR,45,2019-10-04T12:00:00Z,0.1,931,40.9,3,3,8,6.6,39.5232,NA,NA,2,0,NA,NA,NA,7,7,3,0,0,0,0,NA,FALSE,FALSE,FALSE
FCR,50,2019-10-04T12:00:00Z,0.1,812.5,29.9,7,6,8,6.5,38.664,NA,NA,2,0,NA,NA,NA,7,73,0,0,0,0,0,NA,FALSE,FALSE,FALSE
FCR,99,2019-10-04T12:00:00Z,0.1,496.8,116.5,4,63,16,1.5,0.25776,0.002155302,S,2,0,NA,NA,NA,7,73,0,0,3,0,0,0,FALSE,FALSE,FALSE
FCR,100,2019-10-04T12:00:00Z,0.1,79,23.9,4,64,18,3.2,0.301473684,NA,NA,2,0,NA,NA,FALSE,7,73,0,0,3,7,0,NA,NA,NA,NA
FCR,101,2019-10-04T12:00:00Z,0.1,132,26.6,5,110,20,1.2,0.17184,0.001733591,S,2,0,NA,NA,NA,73,73,7,73,73,7,0,0,NA,NA,NA
FCR,102,2019-10-04T12:00:00Z,0.1,222,13.8,24,3,7,0.5,0.263020408,0.001011647,S,2,0,NA,NA,NA,7,73,3,0,0,0,0,0,FALSE,FALSE,FALSE
FCR,200,2019-10-04T12:00:00Z,0.1,94.5,47.8,27,26,7,1.6,1.46064,0,V,2,0,NA,NA,NA,7,7,3,0,0,0,0,5,FALSE,FALSE,FALSE
